timestamp_sec,timestamp_nanosec,orient_x,orient_y,orient_z,orient_w,ang_vel_x,ang_vel_y,ang_vel_z,lin_accel_x,lin_accel_y,lin_accel_z,mag_x,mag_y,mag_z,gps_status,latitude,longitude,altitude,temperature_celsius,pressure_hpa,humidity_percent,wifi_ssid,wifi_signal_strength,cpu_temperature
1774710237,497480228,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,0.0,-0.05,-0.37,0.0,0.0,0.0,0,35.162701667,136.967736667,58.6,,,,N/A,N/A,45.277
1774710237,598441947,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,-0.0011111111111111111,-0.0011111111111111111,0.0,0.03,-0.04,-0.36,0.0,0.0,0.0,0,35.162701667,136.967736667,58.6,,,,N/A,N/A,46.251
1774710237,698598748,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,-0.0022222222222222222,0.0,0.0,-0.09,-0.38,0.0,0.0,0.0,0,35.162706667,136.967731667,57.6,,,,N/A,N/A,45.764
1774710237,800420145,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,-0.0022222222222222222,0.0,0.0,0.04,-0.06,-0.39,0.0,0.0,0.0,0,35.162706667,136.967731667,57.6,,,,N/A,N/A,45.764
1774710237,899446430,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,-0.0022222222222222222,0.0,0.02,-0.04,-0.34,0.0,0.0,0.0,0,35.162706667,136.967731667,57.6,,,,N/A,N/A,45.277
1774710238,1083140,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0011111111111111111,0.0,-0.0022222222222222222,0.0,-0.03,-0.36,0.0,0.0,0.0,0,35.162706667,136.967731667,57.6,,,,N/A,N/A,44.79
1774710238,100710119,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0022222222222222222,-0.0022222222222222222,0.0,0.04,-0.03,-0.33,0.0,0.0,0.0,0,35.162706667,136.967731667,57.6,,,,N/A,N/A,45.277
1774710238,194903338,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,-0.01,-0.09,-0.36,0.0,0.0,0.0,0,35.162706667,136.967731667,57.6,,,,N/A,N/A,44.303
1774710238,298810319,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,-0.0011111111111111111,0.0,-0.0011111111111111111,0.04,-0.02,-0.32,0.0,0.0,0.0,0,35.162706667,136.967731667,57.6,,,,N/A,N/A,44.303
1774710238,399191975,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0011111111111111111,0.0,0.0,-0.01,-0.05,-0.38,0.0,0.0,0.0,0,35.162706667,136.967731667,57.6,,,,N/A,N/A,45.277
1774710238,502779860,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0011111111111111111,0.0,0.05,-0.06,-0.36,0.0,0.0,0.0,0,35.162706667,136.967731667,57.6,,,,N/A,N/A,45.764
1774710238,602863937,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,0.0,-0.03,-0.36,0.0,0.0,0.0,0,35.162706667,136.967731667,57.6,,,,N/A,N/A,45.277
1774710238,691711231,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,0.05,-0.05,-0.33,0.0,0.0,0.0,0,35.162706667,136.967731667,57.6,,,,N/A,N/A,45.764
1774710238,803850585,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0011111111111111111,0.0011111111111111111,0.0011111111111111111,0.01,-0.08,-0.38,0.0,0.0,0.0,0,35.162711667,136.967726667,56.9,,,,N/A,N/A,45.764
1774710238,903770345,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0011111111111111111,0.0,0.0,-0.08,-0.37,0.0,0.0,0.0,0,35.162711667,136.967726667,56.9,,,,N/A,N/A,46.251
1774710239,4861103,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0011111111111111111,0.0,0.0,0.03,-0.05,-0.38,0.0,0.0,0.0,0,35.162711667,136.967726667,56.9,,,,N/A,N/A,46.251
1774710239,94889339,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,-0.0011111111111111111,0.0,-0.0011111111111111111,-0.01,-0.03,-0.38,0.0,0.0,0.0,0,35.162711667,136.967726667,56.9,,,,N/A,N/A,45.764
1774710239,199408422,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,-0.0022222222222222222,-0.0011111111111111111,0.0,0.05,-0.06,-0.34,0.0,0.0,0.0,0,35.162711667,136.967726667,56.9,,,,N/A,N/A,46.251
1774710239,296182621,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0011111111111111111,0.0,-0.0022222222222222222,-0.02,-0.03,-0.38,0.0,0.0,0.0,0,35.162711667,136.967726667,56.9,,,,N/A,N/A,45.277
1774710239,398589471,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0022222222222222222,-0.0022222222222222222,0.0,0.06,-0.05,-0.34,0.0,0.0,0.0,0,35.162711667,136.967726667,56.9,,,,N/A,N/A,45.764
1774710239,496917173,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,-0.0022222222222222222,0.0,-0.04,-0.35,0.0,0.0,0.0,0,35.162711667,136.967726667,56.9,,,,N/A,N/A,46.251
1774710239,588171129,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,-0.0022222222222222222,0.0,0.06,-0.09,-0.35,0.0,0.0,0.0,0,35.162711667,136.967726667,56.9,,,,N/A,N/A,46.251
1774710239,698441254,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,-0.0011111111111111111,-0.02,-0.04,-0.34,0.0,0.0,0.0,0,35.162711667,136.967726667,56.9,,,,N/A,N/A,46.251
1774710239,797881082,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,-0.0011111111111111111,0.0,-0.06,-0.36,0.0,0.0,0.0,0,35.162716667,136.967723333,56.6,,,,N/A,N/A,46.738
1774710239,892507307,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,-0.0022222222222222222,-0.0011111111111111111,0.0,-0.05,-0.35,0.0,0.0,0.0,0,35.162716667,136.967723333,56.6,,,,N/A,N/A,46.738
1774710239,990037368,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,0.0,-0.06,-0.35,0.0,0.0,0.0,0,35.162716667,136.967723333,56.6,,,,N/A,N/A,45.764
1774710240,91913674,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0011111111111111111,-0.0022222222222222222,0.0,0.03,-0.07,-0.36,0.0,0.0,0.0,0,35.162716667,136.967723333,56.6,,,,N/A,N/A,45.764
1774710240,191141166,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,0.02,-0.07,-0.35,0.0,0.0,0.0,0,35.162716667,136.967723333,56.6,,,,N/A,N/A,45.764
1774710240,290968370,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,0.06,-0.08,-0.36,0.0,0.0,0.0,0,35.162716667,136.967723333,56.6,,,,N/A,N/A,46.738
1774710240,392441411,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,-0.0011111111111111111,-0.0022222222222222222,0.0,-0.04,-0.37,0.0,0.0,0.0,0,35.162716667,136.967723333,56.6,,,,N/A,N/A,45.277
1774710240,491665792,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,0.03,-0.03,-0.36,0.0,0.0,0.0,0,35.162716667,136.967723333,56.6,,,,N/A,N/A,45.764
1774710240,592703957,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,0.0,-0.03,-0.36,0.0,0.0,0.0,0,35.162716667,136.967723333,56.6,,,,N/A,N/A,45.764
1774710240,693380117,-0.007263118616114053,0.004394491935800099,-0.008239672379625185,0.9999300192251809,-0.0011111111111111111,0.0,0.0011111111111111111,0.03,-0.03,-0.35,0.0,0.0,0.0,0,35.162718333,136.967723333,55.7,,,,N/A,N/A,45.764
1774710240,804007728,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,0.02,-0.04,-0.35,0.0,0.0,0.0,0,35.162718333,136.967723333,55.7,,,,N/A,N/A,45.764
1774710240,903483445,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,0.0,-0.03,-0.4,0.0,0.0,0.0,0,35.162718333,136.967723333,55.7,,,,N/A,N/A,46.251
1774710240,993920057,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,0.02,-0.04,-0.34,0.0,0.0,0.0,0,35.162718333,136.967723333,55.7,,,,N/A,N/A,45.277
1774710241,95265078,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0011111111111111111,0.0011111111111111111,0.0,-0.03,-0.36,0.0,0.0,0.0,0,35.162718333,136.967723333,55.7,,,,N/A,N/A,45.277
1774710241,195869793,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,0.02,-0.03,-0.36,0.0,0.0,0.0,0,35.162718333,136.967723333,55.7,,,,N/A,N/A,46.738
1774710241,298822225,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,-0.0022222222222222222,0.0011111111111111111,0.0,0.0,-0.07,-0.36,0.0,0.0,0.0,0,35.162718333,136.967723333,55.7,,,,N/A,N/A,45.764
1774710241,399393791,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0,0.02,-0.06,-0.35,0.0,0.0,0.0,0,35.162718333,136.967723333,55.7,,,,N/A,N/A,46.738
1774710241,498425392,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,-0.0011111111111111111,-0.0022222222222222222,0.0,0.02,-0.07,-0.34,0.0,0.0,0.0,0,35.162718333,136.967723333,55.7,,,,N/A,N/A,45.764
1774710241,601177969,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0011111111111111111,0.0,0.01,-0.07,-0.39,0.0,0.0,0.0,0,35.162718333,136.967723333,55.7,,,,N/A,N/A,45.277
1774710241,695563635,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,-0.0033333333333333335,0.0011111111111111111,0.0,-0.01,-0.32,0.0,0.0,0.0,0,35.162721667,136.967723333,55.0,,,,N/A,N/A,46.251
1774710241,797233717,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,-0.0011111111111111111,0.0011111111111111111,0.0,-0.09,-0.37,0.0,0.0,0.0,0,35.162721667,136.967723333,55.0,,,,N/A,N/A,46.738
1774710241,898181565,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0011111111111111111,0.0,0.0011111111111111111,0.02,-0.06,-0.37,0.0,0.0,0.0,0,35.162721667,136.967723333,55.0,,,,N/A,N/A,46.251
1774710242,1983454,-0.007263362531394082,0.004394639514793058,-0.0008545132389875391,0.9999635995952038,0.0,0.0,0.0011111111111111111,0.0,-0.08,-0.35,0.0,0.0,0.0,0,35.162721667,136.967723333,55.0,,,,N/A,N/A,46.251
