timestamp_sec,timestamp_curr,orient_x,orient_y,orient_z,orient_w,compass,ang_vel_x,ang_vel_y,ang_vel_z,lin_accel_x,lin_accel_y,lin_accel_z,mag_x,mag_y,mag_z,gps_status,latitude,longitude,altitude,temperature_celsius,pressure_hpa,humidity_percent,wifi_ssid,wifi_signal_strength,cpu_temperature
1777024092.3749962,2026-04-24T18:48:12.375001,0.0031737393052022693,-0.006774712747643305,0.0,0.9999720149314226,90.00246407901994,0.0,-0.0011111111111111111,0.0,0.01,-0.01,-0.29,0.0,0.0,0.0,,,,,23.42698004245758,1008.7160914982144,43.48829060942004,N/A,N/A,43.329
1777024092.480171,2026-04-24T18:48:12.480177,0.0031737393052022693,-0.006774712747643305,0.0,0.9999720149314226,90.00246407901994,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,,,,,23.42698004245758,1008.7160914982144,43.48829060942004,N/A,N/A,41.381
1777024092.574822,2026-04-24T18:48:12.574827,0.0031737393052022693,-0.006774712747643305,0.0,0.9999720149314226,90.00246407901994,0.0,0.0011111111111111111,0.0,0.01,0.0,-0.31,0.0,0.0,0.0,,,,,23.42698004245758,1008.7160914982144,43.48829060942004,N/A,N/A,40.894
1777024092.674975,2026-04-24T18:48:12.674980,0.0031737393052022693,-0.006774712747643305,0.0,0.9999720149314226,90.00246407901994,0.0,-0.0044444444444444444,0.0,0.0,-0.01,-0.28,0.0,0.0,0.0,,,,,23.42698004245758,1008.7160914982144,43.48829060942004,N/A,N/A,41.868
1777024092.774966,2026-04-24T18:48:12.774972,0.0031737393052022693,-0.006774712747643305,0.0,0.9999720149314226,90.00246407901994,0.0,-0.0011111111111111111,0.0,0.01,0.0,-0.27,0.0,0.0,0.0,,,,,23.42698004245758,1008.7160914982144,43.48829060942004,N/A,N/A,41.868
1777024092.881411,2026-04-24T18:48:12.881416,0.0031737393052022693,-0.006774712747643305,0.0,0.9999720149314226,90.00246407901994,0.0011111111111111111,0.0,0.0011111111111111111,0.02,0.0,-0.3,0.0,0.0,0.0,,,,,23.42698004245758,1008.7160914982144,43.48829060942004,N/A,N/A,41.868
1777024092.974951,2026-04-24T18:48:12.974956,0.0031737393052022693,-0.006774712747643305,0.0,0.9999720149314226,90.00246407901994,-0.0011111111111111111,0.0011111111111111111,0.0,0.01,0.0,-0.3,0.0,0.0,0.0,,,,,23.42698004245758,1008.7160914982144,43.48829060942004,N/A,N/A,41.868
1777024093.0748572,2026-04-24T18:48:13.074862,0.0031737393052022693,-0.006774712747643305,0.0,0.9999720149314226,90.00246407901994,0.0,0.0011111111111111111,0.0,0.0,0.02,-0.3,0.0,0.0,0.0,,,,,23.42698004245758,1008.7160914982144,43.48829060942004,N/A,N/A,41.868
1777024093.1759899,2026-04-24T18:48:13.175995,0.0031737393052022693,-0.006774712747643305,0.0,0.9999720149314226,90.00246407901994,0.0,-0.0011111111111111111,0.0011111111111111111,0.02,0.01,-0.29,0.0,0.0,0.0,,,,,23.42698004245758,1008.7160914982144,43.48829060942004,N/A,N/A,41.868
1777024093.2751448,2026-04-24T18:48:13.275150,0.0031737393052022693,-0.006774712747643305,0.0,0.9999720149314226,90.00246407901994,0.0,0.0011111111111111111,0.0,0.03,0.0,-0.28,0.0,0.0,0.0,,,,,23.442025092808763,1008.7945577357308,43.666844048329594,N/A,N/A,40.894
